Frequency(Hz),Magnitude
0.000000000000000000e+00,2.198289941209375167e-02
1.000000000000000000e+00,1.144203927221287831e-01
2.000000000000000000e+00,1.204005249789668747e-01
3.000000000000000000e+00,1.350170935197605171e-01
4.000000000000000000e+00,1.634634280327949829e-01
5.000000000000000000e+00,2.136943388780815078e-01
6.000000000000000000e+00,3.073955596644977195e-01
7.000000000000000000e+00,5.060303536202246377e-01
8.000000000000000000e+00,1.107268422201427294e+00
9.000000000000000000e+00,1.061840673449325312e+00
1.000000000000000000e+01,3.315846716121732540e-01
1.100000000000000000e+01,2.504007519259963122e-01
1.200000000000000000e+01,1.908717910668231987e-01
1.300000000000000000e+01,1.268791062785315782e-01
1.400000000000000000e+01,9.697050575710683407e-02
1.500000000000000000e+01,1.260417475256188635e-01
1.600000000000000000e+01,1.665422859828256386e-01
1.700000000000000000e+01,1.737469395117254012e-01
1.800000000000000000e+01,1.329684560830521334e-01
1.900000000000000000e+01,7.297880940418755014e-02
2.000000000000000000e+01,3.637312622744250795e-02
2.100000000000000000e+01,4.978782630072856041e-02
2.200000000000000000e+01,4.810653083083689385e-02
2.300000000000000000e+01,1.805392450318727901e-02
2.400000000000000000e+01,3.714471781184239957e-02
2.500000000000000000e+01,9.780312657829182132e-02
2.600000000000000000e+01,4.873573435368037943e-02
2.700000000000000000e+01,4.345197970190384923e-02
2.800000000000000000e+01,9.612454077157120413e-03
2.900000000000000000e+01,9.220619312883962873e-03
3.000000000000000000e+01,1.065401501092314886e-02
3.100000000000000000e+01,2.023594625794101001e-02
3.200000000000000000e+01,3.325807269945101063e-02
3.300000000000000000e+01,3.671254962570271591e-02
3.400000000000000000e+01,3.020313089947574900e-02
3.500000000000000000e+01,2.546993502037864579e-02
3.600000000000000000e+01,1.622784843030999208e-02
3.700000000000000000e+01,2.192947822571923722e-02
3.800000000000000000e+01,2.635405588787626333e-02
3.900000000000000000e+01,2.065535935026235198e-02
4.000000000000000000e+01,1.338886833531313311e-02
4.100000000000000000e+01,1.334311149317404799e-02
4.200000000000000000e+01,2.536808655025753895e-02
4.300000000000000000e+01,1.251589887421015457e-01
4.400000000000000000e+01,1.924618968812193687e-01
4.500000000000000000e+01,7.553325962641162239e-02
4.600000000000000000e+01,5.287226964009938968e-02
4.700000000000000000e+01,3.539352453513389812e-02
4.800000000000000000e+01,2.880711662210456991e-02
4.900000000000000000e+01,3.341712590853848641e-02
5.000000000000000000e+01,3.937945761153375385e-02
5.100000000000000000e+01,3.925508301065390449e-02
5.200000000000000000e+01,2.406191956875217142e-02
5.300000000000000000e+01,1.884335747284507714e-02
5.400000000000000000e+01,1.450395902644306678e-02
5.500000000000000000e+01,1.058328203289501598e-02
5.600000000000000000e+01,5.661967409541834861e-03
5.700000000000000000e+01,7.843501370922470808e-03
5.800000000000000000e+01,1.319895531689743370e-02
5.900000000000000000e+01,1.920140315396887121e-02
6.000000000000000000e+01,1.999868548150696493e-02
6.100000000000000000e+01,1.809519009441599297e-02
6.200000000000000000e+01,1.431615025250223411e-02
6.300000000000000000e+01,1.658575814462213971e-02
6.400000000000000000e+01,1.993063515720171208e-02
6.500000000000000000e+01,1.619429866767437692e-02
6.600000000000000000e+01,1.435146955070511036e-02
6.700000000000000000e+01,1.402668348275835399e-02
6.800000000000000000e+01,1.397347101574125325e-02
6.900000000000000000e+01,1.571536304557678149e-02
7.000000000000000000e+01,1.665328358946112364e-02
7.100000000000000000e+01,1.360571775509213793e-02
7.200000000000000000e+01,1.241639400093019936e-02
7.300000000000000000e+01,1.999136890403712188e-02
7.400000000000000000e+01,2.622874029534208798e-02
7.500000000000000000e+01,2.506924605783384871e-02
7.600000000000000000e+01,2.062455261459594791e-02
7.700000000000000000e+01,1.488838873377453312e-02
7.800000000000000000e+01,1.341584929093045386e-02
7.900000000000000000e+01,1.262658468347194717e-02
8.000000000000000000e+01,1.260421993530876431e-02
8.100000000000000000e+01,1.567557862903243282e-02
8.200000000000000000e+01,2.165093130405898805e-02
8.300000000000000000e+01,2.832043741723316160e-02
8.400000000000000000e+01,2.922428256671787822e-02
8.500000000000000000e+01,2.244111009342120502e-02
8.600000000000000000e+01,1.861547654248944111e-02
8.700000000000000000e+01,2.751248049486411038e-02
8.800000000000000000e+01,2.678839213997168123e-02
8.900000000000000000e+01,1.961728279849581438e-02
9.000000000000000000e+01,1.579393879358386571e-02
9.100000000000000000e+01,1.966338301106678593e-02
9.200000000000000000e+01,1.997967222685004957e-02
9.300000000000000000e+01,1.458795547964891054e-02
9.400000000000000000e+01,1.613745210259177540e-02
9.500000000000000000e+01,2.376025838081073649e-02
9.600000000000000000e+01,3.097391879029906883e-02
9.700000000000000000e+01,4.130977607445717598e-02
9.800000000000000000e+01,5.126549053393635036e-02
9.900000000000000000e+01,5.876984283633086836e-02
1.000000000000000000e+02,6.226264404923626677e-02
1.010000000000000000e+02,5.924896934098670270e-02
1.020000000000000000e+02,5.143913135200852554e-02
1.030000000000000000e+02,4.292107551211509636e-02
1.040000000000000000e+02,1.542740108836908146e-02
1.050000000000000000e+02,1.670861559884925795e-02
1.060000000000000000e+02,2.411333730862670957e-02
1.070000000000000000e+02,2.245131872800347483e-02
1.080000000000000000e+02,1.534573233064642946e-02
1.090000000000000000e+02,4.336558164980613278e-03
1.100000000000000000e+02,1.507385356217290535e-02
1.110000000000000000e+02,1.676210303444594651e-02
1.120000000000000000e+02,1.265905352466266051e-02
1.130000000000000000e+02,5.127656634897316545e-03
1.140000000000000000e+02,1.392823861758214071e-02
1.150000000000000000e+02,2.266335998463925652e-02
1.160000000000000000e+02,2.572511012208355402e-02
1.170000000000000000e+02,2.232916517392307190e-02
1.180000000000000000e+02,1.321802158483992296e-02
1.190000000000000000e+02,1.342412787093508371e-02
1.200000000000000000e+02,1.749305894974669678e-02
1.210000000000000000e+02,1.828888313802573898e-02
1.220000000000000000e+02,1.281811672983491218e-02
1.230000000000000000e+02,4.951515863625324115e-03
1.240000000000000000e+02,7.455498724245029039e-03
1.250000000000000000e+02,1.542388781164199044e-02
1.260000000000000000e+02,1.920932195109955817e-02
1.270000000000000000e+02,1.853345865092972250e-02
1.280000000000000000e+02,1.740787772390248872e-02
1.290000000000000000e+02,2.142536982557160380e-02
1.300000000000000000e+02,2.628732134922833266e-02
1.310000000000000000e+02,2.523383810373004341e-02
1.320000000000000000e+02,1.716619982666279035e-02
1.330000000000000000e+02,1.565757037798524293e-02
1.340000000000000000e+02,1.917117667479239715e-02
1.350000000000000000e+02,1.221334083539227233e-02
1.360000000000000000e+02,1.653888997415943734e-03
1.370000000000000000e+02,8.141824869403367637e-03
1.380000000000000000e+02,1.184292215985334636e-02
1.390000000000000000e+02,9.895568197738194294e-03
1.400000000000000000e+02,4.641630175534368179e-03
1.410000000000000000e+02,3.156761620474724667e-03
1.420000000000000000e+02,8.279177541174725236e-03
1.430000000000000000e+02,9.876735011479146828e-03
1.440000000000000000e+02,7.783670464166139030e-03
1.450000000000000000e+02,5.494927242328786522e-03
1.460000000000000000e+02,5.470257201145740759e-03
1.470000000000000000e+02,5.550203121319354817e-03
1.480000000000000000e+02,5.433614717640968157e-03
1.490000000000000000e+02,5.650991461449828175e-03
1.500000000000000000e+02,5.771557114119486506e-03
1.510000000000000000e+02,4.155552101863530488e-03
1.520000000000000000e+02,2.712287721933711020e-03
1.530000000000000000e+02,4.258029182354265349e-03
1.540000000000000000e+02,3.829845878689002326e-03
1.550000000000000000e+02,2.654728450319394483e-03
1.560000000000000000e+02,2.765596525772329693e-03
1.570000000000000000e+02,3.847368921962308029e-03
1.580000000000000000e+02,3.453978183128776809e-03
1.590000000000000000e+02,2.800752023822245928e-03
1.600000000000000000e+02,1.882185780314447584e-03
1.610000000000000000e+02,1.132163740715755491e-03
1.620000000000000000e+02,1.298860131067459175e-03
1.630000000000000000e+02,3.016478319196939234e-03
1.640000000000000000e+02,3.525815298030486860e-03
1.650000000000000000e+02,4.589154603118427399e-03
1.660000000000000000e+02,4.886550462328751593e-03
1.670000000000000000e+02,3.950044361124577068e-03
1.680000000000000000e+02,2.125631425063319833e-03
1.690000000000000000e+02,2.061252764030819477e-03
1.700000000000000000e+02,3.510915709438656128e-03
1.710000000000000000e+02,4.656111176452362374e-03
1.720000000000000000e+02,7.029866775554831360e-03
1.730000000000000000e+02,9.248679189772629136e-03
1.740000000000000000e+02,8.827161977470710311e-03
1.750000000000000000e+02,9.420668330123836351e-03
1.760000000000000000e+02,1.354310447956871138e-02
1.770000000000000000e+02,1.574806732390215611e-02
1.780000000000000000e+02,1.650241319164097789e-02
1.790000000000000000e+02,1.512939444698227498e-02
1.800000000000000000e+02,1.531778387821708040e-02
1.810000000000000000e+02,1.883870372004277025e-02
1.820000000000000000e+02,1.757143547760256844e-02
1.830000000000000000e+02,1.728006465216831364e-02
1.840000000000000000e+02,2.896068856860409269e-02
1.850000000000000000e+02,3.416239705844108243e-02
1.860000000000000000e+02,2.776199834815877565e-02
1.870000000000000000e+02,2.244622737828501705e-02
1.880000000000000000e+02,2.305230183500371621e-02
1.890000000000000000e+02,2.288383817904601075e-02
1.900000000000000000e+02,1.949428867852284752e-02
1.910000000000000000e+02,1.681345221200958306e-02
1.920000000000000000e+02,1.415128713478472355e-02
1.930000000000000000e+02,1.527214388974408935e-02
1.940000000000000000e+02,1.749147274859365678e-02
1.950000000000000000e+02,1.761927485803734678e-02
1.960000000000000000e+02,1.969722539586422905e-02
1.970000000000000000e+02,2.655675562027108583e-02
1.980000000000000000e+02,2.806553452013497291e-02
1.990000000000000000e+02,2.126595280100741781e-02
2.000000000000000000e+02,1.299177181866227257e-02
2.010000000000000000e+02,1.598331049594548664e-02
2.020000000000000000e+02,2.201499304987158609e-02
2.030000000000000000e+02,2.566566750555201656e-02
2.040000000000000000e+02,2.504814510683709555e-02
2.050000000000000000e+02,2.449632862328643065e-02
2.060000000000000000e+02,2.747687391415716204e-02
2.070000000000000000e+02,2.943470817298335374e-02
2.080000000000000000e+02,2.453572344819142034e-02
2.090000000000000000e+02,1.852858435893668318e-02
2.100000000000000000e+02,1.637161857913529972e-02
2.110000000000000000e+02,1.451768287742358221e-02
2.120000000000000000e+02,1.198479120210348484e-02
2.130000000000000000e+02,1.006598152825268627e-02
2.140000000000000000e+02,1.216128642349432847e-02
2.150000000000000000e+02,1.605534614621998216e-02
2.160000000000000000e+02,1.585779885505091136e-02
2.170000000000000000e+02,1.286525888894334696e-02
2.180000000000000000e+02,1.051725050522027242e-02
2.190000000000000000e+02,1.017233046150350234e-02
2.200000000000000000e+02,9.754371163194176450e-03
2.210000000000000000e+02,9.743599891905863758e-03
2.220000000000000000e+02,8.606817072152217474e-03
2.230000000000000000e+02,5.695522423294137326e-03
2.240000000000000000e+02,5.834660939259053540e-03
2.250000000000000000e+02,8.511707251040166386e-03
2.260000000000000000e+02,1.066657802584250817e-02
2.270000000000000000e+02,9.437355243440364791e-03
2.280000000000000000e+02,6.941490088139498985e-03
2.290000000000000000e+02,8.399077762552732349e-03
2.300000000000000000e+02,9.225506300030925089e-03
2.310000000000000000e+02,7.669264232925251425e-03
2.320000000000000000e+02,6.055699138413876172e-03
2.330000000000000000e+02,5.576403176507309378e-03
2.340000000000000000e+02,6.361214737203420289e-03
2.350000000000000000e+02,7.371194030323830436e-03
2.360000000000000000e+02,7.224498537805862548e-03
2.370000000000000000e+02,6.837408972342882106e-03
2.380000000000000000e+02,8.491372265742591630e-03
2.390000000000000000e+02,9.316303341634652596e-03
2.400000000000000000e+02,8.701818691940550049e-03
2.410000000000000000e+02,7.805921101504923777e-03
2.420000000000000000e+02,6.341253158004954427e-03
2.430000000000000000e+02,5.869060796302799470e-03
2.440000000000000000e+02,6.677470755482100943e-03
2.450000000000000000e+02,7.293055528065463429e-03
2.460000000000000000e+02,8.433817442434472442e-03
2.470000000000000000e+02,1.032977586120482905e-02
2.480000000000000000e+02,1.139536279617966302e-02
2.490000000000000000e+02,1.185376959586925683e-02
2.500000000000000000e+02,1.009557685253645136e-02
2.510000000000000000e+02,8.070334613573530713e-03
2.520000000000000000e+02,8.306899934329488311e-03
2.530000000000000000e+02,8.149568718722624214e-03
2.540000000000000000e+02,8.871169062642606309e-03
2.550000000000000000e+02,1.130348122325142840e-02
2.560000000000000000e+02,1.262744778154237593e-02
2.570000000000000000e+02,1.256142886834121439e-02
2.580000000000000000e+02,1.282791950577374419e-02
2.590000000000000000e+02,1.254683010432245706e-02
2.600000000000000000e+02,1.305007001989096430e-02
2.610000000000000000e+02,1.267923087100725904e-02
2.620000000000000000e+02,1.134575103569080042e-02
2.630000000000000000e+02,1.323367389862927304e-02
2.640000000000000000e+02,1.482021531549431413e-02
2.650000000000000000e+02,1.399685905658200162e-02
2.660000000000000000e+02,1.550770779877444668e-02
2.670000000000000000e+02,1.719442125377615080e-02
2.680000000000000000e+02,1.797827822509476953e-02
2.690000000000000000e+02,1.875695106374531893e-02
2.700000000000000000e+02,1.876435047455100869e-02
2.710000000000000000e+02,1.854437518770751109e-02
2.720000000000000000e+02,2.083249464042875171e-02
2.730000000000000000e+02,2.165165779974383836e-02
2.740000000000000000e+02,2.010004626220096915e-02
2.750000000000000000e+02,2.088819058445152629e-02
2.760000000000000000e+02,2.341957713072678748e-02
2.770000000000000000e+02,2.523482697774516448e-02
2.780000000000000000e+02,2.605144039949566781e-02
