Time(s),Sensor(g),Hammer(N)
0.000000000000000000e+00,2.876087583999999531e+00,-1.504394032636363399e+01
3.906402593851322292e-05,4.139040124000000098e+00,-1.508361392136363399e+01
7.812805187702644583e-05,4.235317375599999323e+00,-1.508222673272727121e+01
1.171920778155396687e-04,2.811170603199999896e+00,-1.503034587772727093e+01
1.562561037540528917e-04,1.151394714400000074e+00,-1.503617206999999745e+01
1.953201296925661146e-04,1.127477931999999905e+00,-1.502202274590908893e+01
2.343841556310793375e-04,1.100632564000000091e+00,-1.504199826227272574e+01
2.734481815695925604e-04,3.495723819999999593e-01,-1.499760822590908838e+01
3.125122075081057833e-04,1.179460326400000092e+00,-1.505559271090908879e+01
3.515762334466190062e-04,2.940272418399999754e+00,-1.503201050409090733e+01
3.906402593851322292e-04,2.691952764399999865e+00,-1.507917491772727026e+01
4.297042853236454521e-04,1.378482122799999932e+00,-1.510220224909090625e+01
4.687683112621586750e-04,-3.468245359999999611e-02,-1.512772651999999773e+01
5.078323372006718437e-04,-1.766208689599999992e+00,-1.509637605681817973e+01
5.468963631391851208e-04,-3.132515896400000166e+00,-1.510719612818181545e+01
5.859603890776983980e-04,-3.154602312800000252e+00,-1.508611086090908948e+01
6.250244150162115667e-04,-3.845264084000000193e-01,-1.514215328181817988e+01
6.640884409547247354e-04,2.402144814399999717e+00,-1.516407086227272494e+01
7.031524668932380125e-04,2.897685902799999713e+00,-1.511052538090908826e+01
7.422164928317512896e-04,3.543927125199999750e+00,-1.501064779909090774e+01
7.812805187702644583e-04,3.292312812399999622e+00,-1.505198602045454415e+01
8.203445447087776270e-04,1.221924817599999935e+00,-1.506752253318181545e+01
8.594085706472909042e-04,-7.591413163999999325e-01,-1.508944011363636228e+01
8.984725965858041813e-04,-1.756446737599999919e+00,-1.509693093227272520e+01
9.375366225243173500e-04,-1.494582375199999813e+00,-1.514714716090908908e+01
9.766006484628305187e-04,-2.086892479999999939e-01,-1.515547029272727109e+01
1.015664674401343687e-03,1.660114437999999915e+00,-1.519486644999999747e+01
1.054728700339857073e-03,3.585781494399999936e+00,-1.520873833636363415e+01
1.093792726278370242e-03,4.262772865599999683e+00,-1.526672282136363457e+01
1.132856752216883410e-03,3.745755482799999925e+00,-1.527199413818181561e+01
1.171920778155396796e-03,1.069028244400000105e+00,-1.534607001136363458e+01
1.210984804093909965e-03,-1.567430941999999883e+00,-1.540544168499999778e+01
1.250048830032423133e-03,-1.623318117199999966e+00,-1.530917079363636191e+01
1.289112855970936302e-03,-6.358966723999999182e-01,-1.518099456363636079e+01
1.328176881909449471e-03,-3.980711168000000133e-01,-1.519347926136363469e+01
1.367240907847962856e-03,-6.567628447999999119e-01,-1.513854659136363523e+01
1.406304933786476025e-03,2.304765675999999874e-01,-1.511524182227272561e+01
1.445368959724989194e-03,9.718968219999999381e-01,-1.513882402909090708e+01
1.484432985663502579e-03,-3.083831827999999886e-01,-1.514936666272727095e+01
1.523497011602015748e-03,-9.671929183999999902e-01,-1.521844865681817893e+01
1.562561037540528917e-03,1.101974832400000048e+00,-1.526339356863636176e+01
1.601625063479042085e-03,2.488538089599999559e+00,-1.518154943909090626e+01
1.640689089417555254e-03,1.560176454400000079e+00,-1.516573548863636134e+01
1.679753115356068640e-03,1.602884994400000096e+00,-1.513466246318181696e+01
1.718817141294581808e-03,2.567243827599999584e+00,-1.509887299636363522e+01
1.757881167233094977e-03,1.374821390799999987e+00,-1.512467470499999855e+01
1.796945193171608363e-03,-1.133146102400000022e+00,-1.524008879954545215e+01
1.836009219110121531e-03,-2.296648756400000213e+00,-1.518571100499999815e+01
1.875073245048634700e-03,-1.561085673200000024e+00,-1.520235726863636216e+01
1.914137270987147869e-03,-1.022839711999999901e-01,-1.518765306909090640e+01
1.953201296925661037e-03,6.495083571999999972e-01,-1.511607413545454293e+01
1.992265322864174206e-03,2.519776335999999617e+00,-1.516934217909090776e+01
2.031329348802687375e-03,4.482416785599999898e+00,-1.514409534590908812e+01
2.070393374741200977e-03,3.209580269199999947e+00,-1.514964410045454279e+01
2.109457400679714146e-03,7.357796079999999739e-01,-1.517100680545454416e+01
2.148521426618227315e-03,-1.124970467599999857e+00,-1.514215328181817988e+01
2.187585452556740483e-03,-2.155588550000000048e+00,-1.515630260590908840e+01
2.226649478495253652e-03,-2.236734776000000036e+00,-1.512578445590908949e+01
2.265713504433766821e-03,-1.539243305599999889e+00,-1.510608637727272452e+01
2.304777530372279989e-03,7.207706068000000466e-01,-1.508999498909090775e+01
2.343841556310793592e-03,3.807865902399999669e+00,-1.506890972181818000e+01
2.382905582249306761e-03,5.470692401199999999e+00,-1.514048865545454348e+01
2.421969608187819929e-03,5.508641989600000066e+00,-1.508777548727272588e+01
2.461033634126333098e-03,4.242272766399999284e+00,-1.508416879681817946e+01
2.500097660064846267e-03,2.661202615599999710e+00,-1.506336096727272533e+01
2.539161686003359435e-03,1.288794188800000073e+00,-1.504588239045454401e+01
2.578225711941872604e-03,-4.139342887999999943e-01,-1.502091299499999799e+01
2.617289737880385773e-03,-4.969108808000000099e-01,-1.514215328181817988e+01
2.656353763818898941e-03,1.784579326000000021e+00,-1.517988481272726986e+01
2.695417789757412544e-03,3.496215584799999831e+00,-1.510858331681818001e+01
2.734481815695925713e-03,4.184921298399999934e+00,-1.504116594909090665e+01
2.773545841634438881e-03,5.293512972399999406e+00,-1.505559271090908879e+01
2.812609867572952050e-03,5.316331535199999792e+00,-1.509332424181818055e+01
2.851673893511465219e-03,3.762716874399999689e+00,-1.508666573636363495e+01
2.890737919449978387e-03,1.676831780799999949e+00,-1.507917491772727026e+01
2.929801945388491556e-03,4.345013643999999786e-01,-1.504893420545454319e+01
2.968865971327005158e-03,1.726370020000000116e-01,-1.506946459727272547e+01
3.007929997265518327e-03,-8.251601840000000188e-02,-1.503312025499999827e+01
3.046994023204031496e-03,1.473742840000000220e-02,-1.497236139272727051e+01
3.086058049142544665e-03,1.127599956400000103e+00,-1.493629448818181693e+01
3.125122075081057833e-03,2.774929356399999936e+00,-1.486332836590908890e+01
3.164186101019571002e-03,3.774065143599999672e+00,-1.488274900681818025e+01
3.203250126958084171e-03,3.563329004799999922e+00,-1.484418516272727118e+01
3.242314152896597339e-03,3.150886532799999529e+00,-1.487026430909090635e+01
3.281378178835110508e-03,2.586401658399999803e+00,-1.495654744227272559e+01
3.320442204773624111e-03,1.038644168800000100e+00,-1.496209619681818026e+01
3.359506230712137279e-03,-5.074049791999999393e-01,-1.491548665863636103e+01
3.398570256650650448e-03,-7.751265127999998894e-01,-1.490411171181817984e+01
3.437634282589163617e-03,-1.869725719999999758e-02,-1.484973391727272585e+01
3.476698308527676785e-03,1.149076250800000087e+00,-1.480589875636363395e+01
3.515762334466189954e-03,1.974083219199999961e+00,-1.480201462818181568e+01
3.554826360404703123e-03,2.879504267199999745e+00,-1.482670658590908808e+01
3.593890386343216725e-03,3.898774080399999509e+00,-1.481782857863636238e+01
3.632954412281729894e-03,3.832514831199999694e+00,-1.476622516136363394e+01
3.672018438220243063e-03,2.719652303199999732e+00,-1.473903626409090784e+01
3.711082464158756231e-03,1.269636358000000076e+00,-1.475068864863636087e+01
3.750146490097269400e-03,4.270578759999999474e-01,-1.478675555318181623e+01
3.789210516035782569e-03,-1.070425560799999953e+00,-1.478203911181818064e+01
3.828274541974295737e-03,-2.992553909600000228e+00,-1.476456053499999754e+01
3.867338567912808906e-03,-2.841243653600000307e+00,-1.472682900409090756e+01
3.906402593851322075e-03,-1.017344946799999983e+00,-1.474486245636363435e+01
3.945466619789835677e-03,6.210766720000000518e-01,-1.478314886272727158e+01
3.984530645728348412e-03,1.808862181599999897e+00,-1.480673106954545304e+01
4.023594671666862015e-03,2.376153617199999957e+00,-1.478481348909090798e+01
4.062658697605374750e-03,2.213495091999999609e+00,-1.480700850727272488e+01
4.101722723543888352e-03,1.450964616400000073e+00,-1.482559683499999892e+01
4.140786749482401954e-03,-8.573709583999999939e-01,-1.482060295590908972e+01
4.179850775420914689e-03,-2.549483313200000101e+00,-1.482032551818181609e+01
4.218914801359428292e-03,-2.652105833600000295e+00,-1.480256950363636115e+01
4.257978827297941027e-03,-2.793044015600000041e+00,-1.480562131863636210e+01
4.297042853236454629e-03,-2.082862007600000176e+00,-1.481338957499999864e+01
4.336106879174967364e-03,-9.801275047999998824e-01,-1.475263071272727089e+01
4.375170905113480967e-03,-1.495483999999977498e-04,-1.471684124590908915e+01
4.414234931051994569e-03,1.322106849999999945e+00,-1.468271640545454382e+01
4.453298956990507304e-03,8.805005463999999726e-01,-1.472849363045454396e+01
4.492362982929020906e-03,-9.366868183999998987e-01,-1.475429533909090729e+01
4.531427008867533641e-03,-2.002814001199999971e+00,-1.471267967999999726e+01
4.570491034806047244e-03,-3.540443465600000117e+00,-1.466828964363636167e+01
4.609555060744559979e-03,-4.929813283999999740e+00,-1.462695142227272527e+01
4.648619086683073581e-03,-4.585826500400000505e+00,-1.467106402090908901e+01
4.687683112621587184e-03,-3.434526286400000128e+00,-1.463222273909090632e+01
4.726747138560099919e-03,-1.473472153999999978e+00,-1.461252466045454312e+01
4.765811164498613521e-03,2.908786455999999854e-01,-1.457090900136363487e+01
4.804875190437126256e-03,5.590882768000000613e-01,-1.454177803999999874e+01
4.843939216375639858e-03,6.798924328000000017e-01,-1.452069277272727099e+01
4.883003242314152594e-03,2.313307383999999856e-01,-1.447630273636363363e+01
4.922067268252666196e-03,-1.037234923999999836e+00,-1.446187597454545326e+01
4.961131294191178931e-03,-2.448813183199999965e+00,-1.443912608090908911e+01
